Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,07/03/2020,Northeast,New York,New York,Women's Athletic Footwear,50,900,"450,000",157500.00,35%,Outlet
Foot Locker,1185732,08/03/2020,Northeast,New York,New York,Men's Apparel,60,900,"540,000",162000.00,30%,Outlet
Foot Locker,1185732,09/03/2020,Northeast,New York,New York,Women's Apparel,65,"1,050","682,500",170625.00,25%,Outlet
Foot Locker,1185732,10/03/2020,Northeast,New York,New York,Men's Street Footwear,60,"1,275","765,000",382500.00,50%,Outlet
Foot Locker,1185732,11/03/2020,Northeast,New York,New York,Men's Athletic Footwear,55,"1,025","563,750",169125.00,30%,Outlet
Foot Locker,1185732,12/03/2020,Northeast,New York,New York,Women's Street Footwear,50,950,"475,000",166250.00,35%,Outlet
Foot Locker,1185732,13/03/2020,Northeast,New York,New York,Women's Athletic Footwear,50,900,"450,000",157500.00,35%,Outlet
Foot Locker,1185732,14/03/2020,Northeast,New York,New York,Men's Apparel,60,925,"555,000",166500.00,30%,Outlet
Foot Locker,1185732,15/03/2020,Northeast,New York,New York,Women's Apparel,65,"1,100","715,000",178750.00,25%,Outlet
Foot Locker,1185732,16/03/2020,Northeast,New York,New York,Men's Street Footwear,60,"1,250","750,000",375000.00,50%,Outlet
Foot Locker,1185732,17/03/2020,Northeast,New York,New York,Men's Athletic Footwear,55,"1,025","563,750",169125.00,30%,Outlet
Foot Locker,1185732,18/03/2020,Northeast,New York,New York,Women's Street Footwear,50,950,"475,000",166250.00,35%,Outlet
Foot Locker,1185732,31/03/2020,Northeast,New York,New York,Women's Athletic Footwear,50,925,"462,500",161875.00,35%,Outlet
Walmart,1185732,17/04/2020,Northeast,New York,New York,Men's Apparel,60,900,"540,000",162000.00,30%,Outlet
Walmart,1185732,18/04/2020,Northeast,New York,New York,Women's Apparel,65,"1,075","698,750",174688.00,25%,Outlet
Walmart,1185732,19/04/2020,Northeast,New York,New York,Men's Street Footwear,60,"1,200","720,000",360000.00,50%,Outlet
Walmart,1185732,20/04/2020,Northeast,New York,New York,Men's Athletic Footwear,55,"1,000","550,000",165000.00,30%,Outlet
Walmart,1185732,21/04/2020,Northeast,New York,New York,Women's Street Footwear,50,925,"462,500",161875.00,35%,Outlet
Walmart,1185732,22/04/2020,Northeast,New York,New York,Women's Athletic Footwear,50,900,"450,000",157500.00,35%,Outlet
Walmart,1185732,23/04/2020,Northeast,New York,New York,Men's Apparel,60,900,"540,000",162000.00,30%,Outlet
Walmart,1185732,24/04/2020,Northeast,New York,New York,Women's Apparel,65,"1,000","650,000",162500.00,25%,Outlet
Walmart,1185732,25/04/2020,Northeast,New York,New York,Men's Apparel,65,875,"568,750",170625.00,30%,Outlet
Walmart,1185732,26/04/2020,Northeast,New York,New York,Women's Apparel,70,"1,000","700,000",175000.00,25%,Outlet
Walmart,1185732,27/04/2020,Northeast,New York,New York,Men's Street Footwear,65,"1,150","747,500",373750.00,50%,Outlet
Walmart,1185732,28/04/2020,Northeast,New York,New York,Men's Athletic Footwear,55,975,"536,250",160875.00,30%,Outlet
Walmart,1185732,29/04/2020,Northeast,New York,New York,Women's Street Footwear,55,920,"506,000",177100.00,35%,Outlet
Walmart,1185732,30/04/2020,Northeast,New York,New York,Women's Athletic Footwear,55,900,"495,000",173250.00,35%,Outlet
Walmart,1185732,01/05/2020,Northeast,New York,New York,Men's Apparel,65,875,"568,750",170625.00,30%,Outlet
Walmart,1185732,02/05/2020,Northeast,New York,New York,Women's Apparel,70,975,"682,500",170625.00,25%,Outlet
Walmart,1185732,03/05/2020,Northeast,New York,New York,Men's Street Footwear,65,"1,200","780,000",390000.00,50%,Outlet
Walmart,1185732,04/05/2020,Northeast,New York,New York,Men's Athletic Footwear,55,"1,000","550,000",165000.00,30%,Outlet
Walmart,1185732,05/05/2020,Northeast,New York,New York,Women's Street Footwear,55,950,"522,500",182875.00,35%,Outlet
Walmart,1185732,06/05/2020,Northeast,New York,New York,Women's Athletic Footwear,55,900,"495,000",173250.00,35%,Outlet
Walmart,1185732,07/05/2020,Northeast,New York,New York,Men's Apparel,65,900,"585,000",175500.00,30%,Outlet
Walmart,1185732,18/07/2020,Northeast,New York,New York,Women's Apparel,70,"1,000","700,000",175000.00,25%,Outlet
Sports Direct,1197831,19/07/2020,Northeast,New York,New York,Men's Street Footwear,25,900,"225,000",78750.00,35%,Outlet
Sports Direct,1197831,20/07/2020,Northeast,New York,New York,Men's Athletic Footwear,35,900,"315,000",110250.00,35%,Outlet
Sports Direct,1197831,21/07/2020,Northeast,New York,New York,Women's Street Footwear,35,700,"245,000",85750.00,35%,Outlet
Sports Direct,1197831,22/07/2020,Northeast,New York,New York,Women's Athletic Footwear,35,700,"245,000",110250.00,45%,Outlet
Sports Direct,1197831,23/07/2020,South,Texas,Houston,Men's Apparel,40,550,"220,000",66000.00,30%,Outlet
Sports Direct,1197831,24/07/2020,South,Texas,Houston,Women's Apparel,35,700,"245,000",122500.00,50%,Outlet
Sports Direct,1197831,25/07/2020,South,Texas,Houston,Men's Street Footwear,25,850,"212,500",74375.00,35%,Outlet
Sports Direct,1197831,26/07/2020,South,Texas,Houston,Men's Athletic Footwear,35,850,"297,500",104125.00,35%,Outlet
Sports Direct,1197831,27/07/2020,South,Texas,Houston,Women's Street Footwear,35,675,"236,250",82688.00,35%,Outlet
Sports Direct,1197831,28/07/2020,South,Texas,Houston,Women's Athletic Footwear,35,625,"218,750",98438.00,45%,Outlet
Sports Direct,1197831,29/07/2020,South,Texas,Houston,Men's Apparel,40,500,"200,000",60000.00,30%,Outlet
Sports Direct,1197831,30/07/2020,South,Texas,Houston,Women's Apparel,35,700,"245,000",122500.00,50%,Outlet
Sports Direct,1197831,31/07/2020,South,Texas,Houston,Men's Street Footwear,30,875,"262,500",91875.00,35%,Outlet
Sports Direct,1197831,01/08/2020,South,Texas,Houston,Men's Athletic Footwear,40,875,"350,000",122500.00,35%,Outlet
Sports Direct,1197831,02/08/2020,South,Texas,Houston,Women's Street Footwear,35,700,"245,000",85750.00,35%,Outlet
Sports Direct,1197831,03/08/2020,South,Texas,Houston,Women's Athletic Footwear,40,600,"240,000",108000.00,45%,Outlet
Sports Direct,1197831,04/08/2020,South,Texas,Houston,Men's Apparel,45,500,"225,000",67500.00,30%,Outlet
Sports Direct,1197831,05/08/2020,South,Texas,Houston,Women's Apparel,40,650,"260,000",130000.00,50%,Outlet
Sports Direct,1197831,06/08/2020,South,Texas,Houston,Men's Street Footwear,30,900,"270,000",94500.00,35%,Outlet
Sports Direct,1197831,07/08/2020,South,Texas,Houston,Men's Athletic Footwear,40,900,"360,000",126000.00,35%,Outlet
Sports Direct,1197831,08/08/2020,South,Texas,Houston,Women's Street Footwear,35,725,"253,750",88813.00,35%,Outlet
Sports Direct,1197831,09/08/2020,South,Texas,Houston,Women's Athletic Footwear,40,625,"250,000",112500.00,45%,Outlet
Walmart,1197831,10/08/2020,South,Texas,Houston,Men's Apparel,45,525,"236,250",70875.00,30%,Outlet
Walmart,1197831,11/08/2020,South,Texas,Houston,Women's Apparel,40,800,"320,000",160000.00,50%,Outlet
Walmart,1197831,12/08/2020,South,Texas,Houston,Men's Street Footwear,30,925,"277,500",97125.00,35%,Outlet
Walmart,1197831,13/08/2020,South,Texas,Houston,Men's Athletic Footwear,40,925,"370,000",129500.00,35%,Outlet
Walmart,1197831,14/08/2020,South,Texas,Houston,Women's Street Footwear,35,775,"271,250",94938.00,35%,Outlet
Walmart,1197831,15/08/2020,South,Texas,Houston,Women's Athletic Footwear,40,700,"280,000",126000.00,45%,Outlet
Walmart,1197831,16/08/2020,South,Texas,Houston,Men's Apparel,45,600,"270,000",81000.00,30%,Outlet
Walmart,1197831,17/08/2020,South,Texas,Houston,Women's Apparel,40,950,"380,000",190000.00,50%,Outlet
Walmart,1197831,18/08/2020,South,Texas,Houston,Men's Street Footwear,40,950,"380,000",133000.00,35%,Outlet
Walmart,1197831,19/08/2020,South,Texas,Houston,Men's Athletic Footwear,45,950,"427,500",149625.00,35%,Outlet
Walmart,1197831,20/08/2020,South,Texas,Houston,Women's Street Footwear,40,800,"320,000",112000.00,35%,Outlet
Walmart,1197831,21/08/2020,South,Texas,Houston,Women's Athletic Footwear,40,750,"300,000",135000.00,45%,Outlet
Walmart,1197831,22/08/2020,South,Texas,Houston,Men's Apparel,45,650,"292,500",87750.00,30%,Outlet
Walmart,1197831,23/08/2020,South,Texas,Houston,Women's Apparel,50,"1,000","500,000",250000.00,50%,Outlet
Walmart,1197831,24/08/2020,South,Texas,Houston,Men's Street Footwear,40,950,"380,000",133000.00,35%,Outlet
Walmart,1197831,25/08/2020,South,Texas,Houston,Men's Athletic Footwear,45,950,"427,500",149625.00,35%,Outlet
Walmart,1197831,26/08/2020,South,Texas,Houston,Women's Street Footwear,40,"1,100","440,000",154000.00,35%,Outlet
Walmart,1197831,27/08/2020,South,Texas,Houston,Women's Athletic Footwear,40,700,"280,000",126000.00,45%,Outlet
Walmart,1197831,28/08/2020,South,Texas,Houston,Men's Apparel,45,700,"315,000",94500.00,30%,Outlet
Walmart,1197831,29/08/2020,South,Texas,Houston,Women's Apparel,50,975,"487,500",243750.00,50%,Outlet
Walmart,1197831,30/08/2020,South,Texas,Houston,Men's Street Footwear,40,925,"370,000",129500.00,35%,Outlet
Walmart,1197831,31/08/2020,South,Texas,Houston,Men's Athletic Footwear,45,925,"416,250",145688.00,35%,Outlet
Walmart,1197831,01/09/2020,South,Texas,Houston,Women's Street Footwear,40,"1,100","440,000",154000.00,35%,Outlet
Walmart,1197831,02/09/2020,South,Texas,Houston,Women's Athletic Footwear,40,650,"260,000",117000.00,45%,Outlet
Walmart,1197831,03/09/2020,South,Texas,Houston,Men's Apparel,45,650,"292,500",87750.00,30%,Outlet
Walmart,1197831,04/09/2020,South,Texas,Houston,Women's Apparel,50,900,"450,000",225000.00,50%,Outlet
Walmart,1197831,05/09/2020,South,Texas,Houston,Men's Street Footwear,45,850,"382,500",133875.00,35%,Outlet
Walmart,1197831,06/09/2020,South,Texas,Houston,Men's Athletic Footwear,45,850,"382,500",133875.00,35%,Outlet
Walmart,1197831,07/09/2020,South,Texas,Houston,Women's Street Footwear,50,900,"450,000",157500.00,35%,Outlet
Walmart,1197831,08/09/2020,South,Texas,Houston,Women's Athletic Footwear,50,625,"312,500",140625.00,45%,Outlet
Walmart,1197831,09/09/2020,South,Texas,Houston,Men's Apparel,45,625,"281,250",84375.00,30%,Outlet
Walmart,1197831,10/09/2020,South,Texas,Houston,Women's Apparel,55,850,"467,500",233750.00,50%,Outlet
Walmart,1197831,11/09/2020,South,Texas,Houston,Men's Street Footwear,45,800,"360,000",126000.00,35%,Outlet
Walmart,1197831,12/09/2020,South,Texas,Houston,Men's Athletic Footwear,45,800,"360,000",126000.00,35%,Outlet
Walmart,1197831,13/09/2020,South,Texas,Houston,Women's Street Footwear,50,750,"375,000",131250.00,35%,Outlet
Walmart,1197831,14/09/2020,South,Texas,Houston,Women's Athletic Footwear,50,600,"300,000",135000.00,45%,Outlet
Walmart,1197831,15/09/2020,South,Texas,Houston,Men's Apparel,45,575,"258,750",77625.00,30%,Outlet
Walmart,1197831,16/09/2020,South,Texas,Houston,Women's Apparel,55,750,"412,500",206250.00,50%,Outlet
Walmart,1197831,20/10/2020,South,Texas,Houston,Men's Street Footwear,45,900,"405,000",141750.00,35%,Outlet
Walmart,1197831,21/10/2020,South,Texas,Houston,Men's Athletic Footwear,45,900,"405,000",141750.00,35%,Outlet
Walmart,1197831,22/10/2020,South,Texas,Houston,Women's Street Footwear,50,825,"412,500",144375.00,35%,Outlet
Walmart,1197831,23/10/2020,South,Texas,Houston,Women's Athletic Footwear,50,675,"337,500",151875.00,45%,Outlet
Walmart,1197831,24/10/2020,South,Texas,Houston,Men's Apparel,45,650,"292,500",87750.00,30%,Outlet
Walmart,1197831,25/10/2020,South,Texas,Houston,Women's Apparel,55,850,"467,500",233750.00,50%,Outlet
Walmart,1197831,26/10/2020,South,Texas,Houston,Men's Street Footwear,45,950,"427,500",149625.00,35%,Outlet
Walmart,1197831,27/10/2020,South,Texas,Houston,Men's Athletic Footwear,45,950,"427,500",149625.00,35%,Outlet
Walmart,1197831,28/10/2020,South,Texas,Houston,Women's Street Footwear,50,850,"425,000",148750.00,35%,Outlet
Walmart,1197831,29/10/2020,South,Texas,Houston,Women's Athletic Footwear,50,700,"350,000",157500.00,45%,Outlet
Walmart,1197831,30/10/2020,South,Texas,Houston,Men's Apparel,45,650,"292,500",87750.00,30%,Outlet
Walmart,1197831,31/10/2020,South,Texas,Houston,Women's Apparel,55,900,"495,000",247500.00,50%,Outlet
West Gear,1128299,01/11/2020,South,Texas,Houston,Men's Street Footwear,40,775,"310,000",108500.00,35%,Outlet
West Gear,1128299,02/11/2020,South,Texas,Houston,Men's Athletic Footwear,50,775,"387,500",77500.00,20%,Outlet
West Gear,1128299,03/11/2020,South,Texas,Houston,Women's Street Footwear,50,775,"387,500",135625.00,35%,Outlet
West Gear,1128299,04/11/2020,South,Texas,Houston,Women's Athletic Footwear,50,625,"312,500",93750.00,30%,Outlet
West Gear,1128299,05/11/2020,West,California,San Francisco,Men's Apparel,55,575,"316,250",158125.00,50%,Outlet
West Gear,1128299,06/11/2020,West,California,San Francisco,Women's Apparel,50,775,"387,500",58125.00,15%,Outlet
West Gear,1128299,07/11/2020,West,California,San Francisco,Men's Street Footwear,40,825,"330,000",115500.00,35%,Outlet
West Gear,1128299,08/11/2020,West,California,San Francisco,Men's Athletic Footwear,50,725,"362,500",72500.00,20%,Outlet
West Gear,1128299,09/11/2020,West,California,San Francisco,Women's Street Footwear,50,725,"362,500",126875.00,35%,Outlet
West Gear,1128299,10/11/2020,West,California,San Francisco,Women's Athletic Footwear,50,575,"287,500",86250.00,30%,Outlet
West Gear,1128299,11/11/2020,West,California,San Francisco,Men's Apparel,55,500,"275,000",137500.00,50%,Outlet
West Gear,1128299,12/11/2020,West,California,San Francisco,Women's Apparel,50,700,"350,000",52500.00,15%,Outlet
West Gear,1128299,13/11/2020,West,California,San Francisco,Men's Street Footwear,50,850,"425,000",148750.00,35%,Outlet
West Gear,1128299,14/11/2020,West,California,San Francisco,Men's Athletic Footwear,60,700,"420,000",84000.00,20%,Outlet
West Gear,1128299,15/11/2020,West,California,San Francisco,Women's Street Footwear,60,700,"420,000",147000.00,35%,Outlet
West Gear,1128299,22/12/2020,West,California,San Francisco,Women's Athletic Footwear,60,600,"360,000",108000.00,30%,Outlet
West Gear,1128299,23/12/2020,West,California,San Francisco,Men's Apparel,65,500,"325,000",162500.00,50%,Outlet
West Gear,1128299,24/12/2020,West,California,San Francisco,Women's Apparel,60,700,"420,000",63000.00,15%,Outlet
West Gear,1128299,25/12/2020,West,California,San Francisco,Men's Street Footwear,60,875,"525,000",183750.00,35%,Outlet
West Gear,1128299,26/12/2020,West,California,San Francisco,Men's Athletic Footwear,65,675,"438,750",87750.00,20%,Outlet
West Gear,1128299,27/12/2020,West,California,San Francisco,Women's Street Footwear,65,725,"471,250",164938.00,35%,Outlet
West Gear,1128299,28/12/2020,West,California,San Francisco,Women's Athletic Footwear,60,625,"375,000",112500.00,30%,Outlet
West Gear,1128299,29/12/2020,West,California,San Francisco,Men's Apparel,65,525,"341,250",170625.00,50%,Outlet
West Gear,1128299,30/12/2020,West,California,San Francisco,Women's Apparel,80,700,"560,000",84000.00,15%,Outlet
West Gear,1128299,31/12/2020,West,California,San Francisco,Men's Street Footwear,60,900,"540,000",216000.00,40%,Outlet
West Gear,1128299,01/01/2021,West,California,San Francisco,Men's Athletic Footwear,65,750,"487,500",121875.00,25%,Outlet
West Gear,1128299,02/01/2021,West,California,San Francisco,Women's Street Footwear,65,750,"487,500",195000.00,40%,Outlet
West Gear,1128299,03/01/2021,West,California,San Francisco,Women's Athletic Footwear,60,650,"390,000",136500.00,35%,Outlet
West Gear,1128299,04/01/2021,West,California,San Francisco,Men's Apparel,65,550,"357,500",196625.00,55%,Outlet
West Gear,1128299,05/01/2021,West,California,San Francisco,Women's Apparel,80,725,"580,000",116000.00,20%,Outlet
West Gear,1128299,06/01/2021,West,California,San Francisco,Men's Street Footwear,60,975,"585,000",234000.00,40%,Outlet
West Gear,1128299,07/01/2021,West,California,San Francisco,Men's Athletic Footwear,65,825,"536,250",134063.00,25%,Outlet
West Gear,1128299,08/01/2021,West,California,San Francisco,Women's Street Footwear,65,825,"536,250",214500.00,40%,Outlet
West Gear,1128299,09/01/2021,West,California,San Francisco,Women's Athletic Footwear,60,700,"420,000",147000.00,35%,Outlet
West Gear,1128299,10/01/2021,West,California,San Francisco,Men's Apparel,65,575,"373,750",205563.00,55%,Outlet
West Gear,1128299,11/01/2021,West,California,San Francisco,Women's Apparel,80,875,"700,000",140000.00,20%,Outlet
West Gear,1128299,12/01/2021,West,California,San Francisco,Men's Street Footwear,60,"1,025","615,000",215250.00,35%,Outlet
West Gear,1128299,13/01/2021,West,California,San Francisco,Men's Athletic Footwear,65,875,"568,750",113750.00,20%,Outlet
West Gear,1128299,14/01/2021,West,California,San Francisco,Women's Street Footwear,65,825,"536,250",187688.00,35%,Outlet
West Gear,1128299,15/01/2021,West,California,San Francisco,Women's Athletic Footwear,60,725,"435,000",130500.00,30%,Outlet
West Gear,1128299,16/01/2021,West,California,San Francisco,Men's Apparel,65,775,"503,750",251875.00,50%,Outlet
West Gear,1128299,17/01/2021,West,California,San Francisco,Women's Apparel,80,775,"620,000",93000.00,15%,Outlet
West Gear,1128299,18/01/2021,West,California,San Francisco,Men's Street Footwear,65,975,"633,750",221813.00,35%,Outlet
West Gear,1128299,19/01/2021,West,California,San Francisco,Men's Athletic Footwear,70,925,"647,500",129500.00,20%,Outlet
West Gear,1128299,20/01/2021,West,California,San Francisco,Women's Street Footwear,65,800,"520,000",182000.00,35%,Outlet
West Gear,1128299,21/01/2021,West,California,San Francisco,Women's Athletic Footwear,65,750,"487,500",146250.00,30%,Outlet
West Gear,1128299,22/01/2021,West,California,San Francisco,Men's Apparel,75,750,"562,500",281250.00,50%,Outlet
West Gear,1128299,23/01/2021,West,California,San Francisco,Women's Apparel,80,725,"580,000",87000.00,15%,Outlet
West Gear,1128299,24/01/2021,West,California,San Francisco,Men's Street Footwear,55,925,"508,750",152625.00,30%,Outlet
West Gear,1128299,25/01/2021,West,California,San Francisco,Men's Athletic Footwear,60,925,"555,000",83250.00,15%,Outlet
West Gear,1128299,26/01/2021,West,California,San Francisco,Women's Street Footwear,55,775,"426,250",127875.00,30%,Outlet
West Gear,1128299,27/01/2021,West,California,San Francisco,Women's Athletic Footwear,55,725,"398,750",99688.00,25%,Outlet
West Gear,1128299,28/01/2021,West,California,San Francisco,Men's Apparel,65,725,"471,250",212063.00,45%,Outlet
West Gear,1128299,29/01/2021,West,California,San Francisco,Women's Apparel,70,775,"542,500",54250.00,10%,Outlet
West Gear,1128299,30/01/2021,West,California,San Francisco,Men's Street Footwear,55,875,"481,250",144375.00,30%,Outlet
West Gear,1128299,31/01/2021,West,California,San Francisco,Men's Athletic Footwear,60,875,"525,000",78750.00,15%,Outlet
West Gear,1128299,01/02/2021,West,California,San Francisco,Women's Street Footwear,55,700,"385,000",115500.00,30%,Outlet
West Gear,1128299,02/02/2021,West,California,San Francisco,Women's Athletic Footwear,55,675,"371,250",92813.00,25%,Outlet
West Gear,1128299,03/02/2021,West,California,San Francisco,Men's Apparel,65,650,"422,500",190125.00,45%,Outlet
West Gear,1128299,04/02/2021,West,California,San Francisco,Women's Apparel,70,700,"490,000",49000.00,10%,Outlet
West Gear,1128299,05/02/2021,West,California,San Francisco,Men's Street Footwear,55,875,"481,250",144375.00,30%,Outlet
West Gear,1128299,06/02/2021,West,California,San Francisco,Men's Athletic Footwear,60,875,"525,000",78750.00,15%,Outlet
West Gear,1128299,07/02/2021,West,California,San Francisco,Women's Street Footwear,55,725,"398,750",119625.00,30%,Outlet
West Gear,1128299,08/02/2021,West,California,San Francisco,Women's Athletic Footwear,55,700,"385,000",96250.00,25%,Outlet
West Gear,1128299,09/02/2021,West,California,San Francisco,Men's Apparel,65,650,"422,500",190125.00,45%,Outlet
West Gear,1128299,10/02/2021,West,California,San Francisco,Women's Apparel,70,775,"542,500",54250.00,10%,Outlet
West Gear,1128299,11/02/2021,West,California,San Francisco,Men's Street Footwear,55,975,"536,250",160875.00,30%,Outlet
West Gear,1128299,12/02/2021,West,California,San Francisco,Men's Athletic Footwear,60,975,"585,000",87750.00,15%,Outlet
West Gear,1128299,13/02/2021,West,California,San Francisco,Women's Street Footwear,55,775,"426,250",127875.00,30%,Outlet
West Gear,1128299,14/02/2021,West,California,San Francisco,Women's Athletic Footwear,55,775,"426,250",106563.00,25%,Outlet
West Gear,1128299,15/02/2021,West,California,San Francisco,Men's Apparel,65,700,"455,000",204750.00,45%,Outlet
West Gear,1128299,16/02/2021,West,California,San Francisco,Women's Apparel,70,800,"560,000",56000.00,10%,Outlet
Kohl's,1189833,17/02/2021,West,California,San Francisco,Men's Street Footwear,35,700,"245,000",98000.00,40%,Outlet
Kohl's,1189833,18/02/2021,West,California,San Francisco,Men's Athletic Footwear,45,700,"315,000",78750.00,25%,Outlet
Kohl's,1189833,09/03/2021,West,California,San Francisco,Women's Street Footwear,45,700,"315,000",126000.00,40%,Outlet
Kohl's,1189833,10/03/2021,West,California,San Francisco,Women's Athletic Footwear,45,550,"247,500",86625.00,35%,Outlet
Kohl's,1189833,11/03/2021,West,California,Los Angeles,Men's Apparel,50,500,"250,000",137500.00,55%,Outlet
Kohl's,1189833,12/03/2021,West,California,Los Angeles,Women's Apparel,45,700,"315,000",63000.00,20%,Outlet
Kohl's,1189833,13/03/2021,West,California,Los Angeles,Men's Street Footwear,35,750,"262,500",105000.00,40%,Outlet
Kohl's,1189833,14/03/2021,West,California,Los Angeles,Men's Athletic Footwear,45,650,"292,500",73125.00,25%,Outlet
Kohl's,1189833,15/03/2021,West,California,Los Angeles,Women's Street Footwear,45,675,"303,750",121500.00,40%,Outlet
Kohl's,1189833,16/03/2021,West,California,Los Angeles,Women's Athletic Footwear,45,525,"236,250",82688.00,35%,Outlet
Kohl's,1189833,17/03/2021,West,California,Los Angeles,Men's Apparel,50,450,"225,000",123750.00,55%,Outlet
Kohl's,1189833,18/03/2021,West,California,Los Angeles,Women's Apparel,45,650,"292,500",58500.00,20%,Outlet
Kohl's,1189833,19/03/2021,West,California,Los Angeles,Men's Street Footwear,35,800,"280,000",112000.00,40%,Outlet
Kohl's,1189833,20/03/2021,West,California,Los Angeles,Men's Athletic Footwear,45,650,"292,500",73125.00,25%,Outlet
Kohl's,1189833,21/03/2021,West,California,Los Angeles,Women's Street Footwear,45,650,"292,500",117000.00,40%,Outlet
Kohl's,1189833,22/03/2021,West,California,Los Angeles,Women's Athletic Footwear,45,550,"247,500",86625.00,35%,Outlet
Kohl's,1189833,23/03/2021,West,California,Los Angeles,Men's Apparel,50,425,"212,500",116875.00,55%,Outlet
Kohl's,1189833,06/04/2021,West,California,Los Angeles,Women's Apparel,45,625,"281,250",56250.00,20%,Outlet
Kohl's,1189833,07/04/2021,West,California,Los Angeles,Men's Street Footwear,45,800,"360,000",144000.00,40%,Outlet
Kohl's,1189833,08/04/2021,West,California,Los Angeles,Men's Athletic Footwear,50,600,"300,000",75000.00,25%,Outlet
Kohl's,1189833,09/04/2021,West,California,Los Angeles,Women's Street Footwear,50,625,"312,500",125000.00,40%,Outlet
